sex,age,reason,c_birth,time\geo	BE 	DE 	IE 	EL 	ES 	FR 	IT 	CY 	LT 	LU 	NL 	AT 	PT 	SE 	UK 	NO 	CH 
F,Y15-24,WRK_NJOB,NRP,2008	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,Y15-64,EDUC,EU27_FOR,2008	7 	: 	5 	6 u	3 	: u	5 	: c	: 	: u	10 	13 	: u	8 	18 	5 u	5 
F,Y15-64,EDUC,FOR,2008	7 	5 	8 	2 	3 	10 	3 	1 u	: u	: u	8 	9 	4 	4 	17 	5 	5 
F,Y15-64,EDUC,NEU_HDI_H,2008	7 u	: 	16 	: c	3 	: u	3 	: c	: u	: 	3 u	5 	: c	: u	24 	9 u	5 
F,Y15-64,EDUC,NEU_HDI_L,2008	: u	: 	: u	: c	: c	: u	6 u	: 	: 	: 	: u	: 	: u	: c	12 	: c	: u
F,Y15-64,EDUC,NEU_HDI_M,2008	: u	: 	18 	: 	2 	: u	: u	: u	: 	: 	7 	: u	: u	: u	15 	: c	11 u
F,Y15-64,EDUC,NEU_NHDI,2008	: c	: 	: 	: 	: 	: 	: c	: 	: 	: c	39 	: c	: 	: 	: u	: 	: c
F,Y15-64,EDUC,NRP,2008	: 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 
F,Y15-64,FAM,EU27_FOR,2008	52 	: 	32 	32 	35 	59 	49 	49 	: u	56 	62 	45 	60 	53 	27 	68 	42 
F,Y15-64,FAM,FOR,2008	58 	55 	32 	34 	40 	66 	51 	33 	43 u	58 	62 	53 	52 	58 	43 	61 	51 
F,Y15-64,FAM,NEU_HDI_H,2008	58 	: 	38 	35 	39 	71 	52 	32 	42 u	78 	70 	59 	51 	62 	43 	65 	61 
F,Y15-64,FAM,NEU_HDI_L,2008	40 	: 	41 	59 u	70 	63 	60 	: c	: 	59 u	40 	: u	53 	62 	61 	60 	56 
F,Y15-64,FAM,NEU_HDI_M,2008	84 	: 	25 	31 u	46 	69 	49 	11 	: c	76 	65 	50 	46 	66 	51 	59 	59 
F,Y15-64,FAM,NEU_NHDI,2008	: 	: 	: u	: 	: c	: 	67 u	: c	: 	: u	23 	: u	: c	: u	28 u	18 u	: u
F,Y15-64,FAM,NRP,2008	: 	55 	: 	: c	: 	: u	: 	: 	: 	: 	: u	: 	: 	43 	: 	66 u	: 
F,Y15-64,INTPRO,EU27_FOR,2008	: u	: 	: u	: u	: c	: u	: c	: c	: 	2 u	: c	3 u	: 	: u	: u	: 	: u
F,Y15-64,INTPRO,FOR,2008	8 	12 	2 	7 	0 u	: u	: u	2 u	: 	3 	9 	8 	: u	19 	5 	16 	2 
F,Y15-64,INTPRO,NEU_HDI_H,2008	17 	: 	: u	9 	: c	: u	: c	3 u	: 	: u	13 	12 	: 	26 	4 	12 	4 
F,Y15-64,INTPRO,NEU_HDI_L,2008	28 u	: 	34 	: 	: 	: u	: c	: 	: 	: 	46 	: c	: u	30 u	9 	33 	14 u
F,Y15-64,INTPRO,NEU_HDI_M,2008	: c	: 	: c	: c	: 	: c	: c	: c	: 	: 	5 	: c	: c	27 	4 u	17 u	: u
F,Y15-64,INTPRO,NEU_NHDI,2008	: 	: 	: 	: 	: c	: 	: 	: 	: 	: c	12 u	: u	: 	: u	38 u	65 	: c
F,Y15-64,INTPRO,NRP,2008	: 	12 	: 	: u	: 	: c	: 	: 	: 	: 	: c	: 	: 	29 	: 	: 	: 
F,Y15-64,OTH,EU27_FOR,2008	17 	: 	18 	14 	18 	13 u	4 	17 	: c	11 	15 	11 	: u	17 	12 	5 u	14 
F,Y15-64,OTH,FOR,2008	12 	15 	17 	11 	10 	8 	4 	8 	31 u	10 	13 	6 	12 	9 	12 	9 	12 
F,Y15-64,OTH,NEU_HDI_H,2008	: u	: 	15 	9 	8 	: u	5 	4 u	30 u	: u	9 	: u	: u	6 	15 	11 u	12 
F,Y15-64,OTH,NEU_HDI_L,2008	15 u	: 	14 u	: c	: c	: u	: u	: c	: 	: u	8 u	: 	21 	: u	10 	: c	: u
F,Y15-64,OTH,NEU_HDI_M,2008	: u	: 	7 u	: u	4 	: u	3 u	: c	: 	: u	15 	: c	: u	: u	10 	22 u	7 u
F,Y15-64,OTH,NEU_NHDI,2008	: 	: 	: c	: 	: 	: 	: 	: 	: c	: c	18 	: 	: c	: c	: u	: c	: 
F,Y15-64,OTH,NRP,2008	: 	15 	: 	: c	: 	: 	: 	: 	: 	: 	: c	: 	: 	: u	: 	: c	: 
F,Y15-64,WRK_JOB,EU27_FOR,2008	15 	: 	11 	5 u	9 	: u	11 	18 	: 	23 	9 	12 	: c	12 	16 	7 u	26 
F,Y15-64,WRK_JOB,FOR,2008	9 	8 	14 	3 	9 	: u	10 	41 	: u	21 	4 	7 	6 	6 	10 	3 u	18 
F,Y15-64,WRK_JOB,NEU_HDI_H,2008	: u	: 	13 	3 u	8 	: u	9 	39 	: u	: u	4 	3 u	: u	: u	6 	: u	9 
F,Y15-64,WRK_JOB,NEU_HDI_L,2008	: c	: 	: c	: c	: c	: u	7 u	: c	: 	: c	: 	: 	: u	: 	2 u	: c	: u
F,Y15-64,WRK_JOB,NEU_HDI_M,2008	: c	: 	39 	: c	8 	: u	14 	78 	: 	: c	2 u	: u	: u	: c	14 	: c	16 u
F,Y15-64,WRK_JOB,NEU_NHDI,2008	: c	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c	: c	: 	: 	: c	: 	: 
F,Y15-64,WRK_JOB,NRP,2008	: 	8 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: u	: 	: 	: c
F,Y15-64,WRK_NJOB,EU27_FOR,2008	8 	: 	33 	40 	34 	17 u	32 	16 	: 	8 	5 	15 	: u	9 	27 	15 	12 
F,Y15-64,WRK_NJOB,FOR,2008	6 	6 	27 	43 	38 	10 	32 	15 	: u	7 	4 	17 	24 	4 	13 	7 	10 
F,Y15-64,WRK_NJOB,NEU_HDI_H,2008	6 u	: 	15 	44 	41 	: u	32 	21 	: u	: c	1 u	19 	33 	: u	8 	: u	9 
F,Y15-64,WRK_NJOB,NEU_HDI_L,2008	: c	: 	: u	: u	16 u	: u	24 	: 	: 	: c	: u	: c	: u	: 	4 	: c	: u
F,Y15-64,WRK_NJOB,NEU_HDI_M,2008	: u	: 	10 	46 	40 	: u	33 	4 u	: c	: u	4 	: u	29 	: c	7 	: c	6 u
F,Y15-64,WRK_NJOB,NEU_NHDI,2008	: 	: 	: c	: 	: 	: 	: u	: 	: 	: 	8 u	: c	: 	: 	: 	: c	: 
F,Y15-64,WRK_NJOB,NRP,2008	: 	6 	: 	68 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
F,Y15-74,EDUC,EU27_FOR,2008	6 	: 	5 	6 u	3 	: u	5 	: c	: 	: u	9 	12 	: u	9 	18 	3 u	5 
F,Y15-74,EDUC,FOR,2008	7 	5 	8 	2 	3 	9 	3 	1 u	: u	: u	8 	8 	4 	4 	17 	4 	5 
F,Y15-74,EDUC,NEU_HDI_H,2008	7 u	: 	15 	: c	3 	: u	3 	: c	: u	: 	3 u	5 	: c	: u	24 	8 u	4 
F,Y15-74,EDUC,NEU_HDI_L,2008	: u	: 	: u	: c	: c	: u	6 u	: 	: 	: 	: u	: 	: u	: c	12 	: c	: u
F,Y15-74,EDUC,NEU_HDI_M,2008	: u	: 	18 	: 	2 	: u	: u	: u	: 	: 	7 	: u	: u	: u	14 	: c	11 u
F,Y15-74,EDUC,NEU_NHDI,2008	: c	: 	: 	: 	: 	: 	: c	: 	: 	: c	37 	: c	: 	: 	: u	: 	: c
F,Y15-74,EDUC,NRP,2008	: 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 
F,Y15-74,FAM,EU27_FOR,2008	54 	: 	33 	33 	34 	60 	50 	48 	: u	58 	63 	47 	62 	50 	27 	68 	40 
F,Y15-74,FAM,FOR,2008	59 	53 	33 	34 	40 	65 	52 	34 	39 u	60 	61 	54 	53 	57 	44 	61 	49 
F,Y15-74,FAM,NEU_HDI_H,2008	59 	: 	39 	34 	40 	69 	52 	32 	38 u	78 	70 	58 	51 	63 	43 	64 	61 
F,Y15-74,FAM,NEU_HDI_L,2008	39 	: 	42 	59 u	71 	63 	61 	: u	: 	59 u	39 	: u	54 	62 	62 	60 	56 
F,Y15-74,FAM,NEU_HDI_M,2008	84 	: 	26 	30 u	46 	70 	49 	14 	: c	75 	64 	50 	48 	66 	52 	56 	59 
F,Y15-74,FAM,NEU_NHDI,2008	: 	: 	: u	: 	: c	: 	65 u	: c	: 	: u	27 	: u	: c	: u	28 u	18 u	: u
F,Y15-74,FAM,NRP,2008	: 	53 	: 	: c	: 	: u	: 	: 	: 	: 	: u	: 	: 	45 	: 	66 u	: 
F,Y15-74,INTPRO,EU27_FOR,2008	: u	: 	: u	: u	: c	: u	: c	: c	: 	2 u	: c	3 u	: 	: u	: u	: c	1 u
F,Y15-74,INTPRO,FOR,2008	7 	13 	2 	7 	0 u	3 u	0 u	2 u	: c	3 	9 	8 	: u	18 	5 	13 	2 
F,Y15-74,INTPRO,NEU_HDI_H,2008	16 	: 	: u	10 	: c	: u	: c	3 u	: c	: u	13 	12 	: 	25 	4 	11 	4 
F,Y15-74,INTPRO,NEU_HDI_L,2008	27 u	: 	34 	: 	: 	: u	: c	: 	: 	: 	46 	: c	: u	30 u	9 	33 	14 u
F,Y15-74,INTPRO,NEU_HDI_M,2008	: c	: 	: c	: c	: 	: c	: u	: c	: 	: 	6 	: c	: c	27 	3 u	16 u	: u
F,Y15-74,INTPRO,NEU_NHDI,2008	: 	: 	: c	: 	: c	: 	: c	: 	: 	: c	11 u	: u	: 	: u	39 u	65 	: c
F,Y15-74,INTPRO,NRP,2008	: 	13 	: 	: u	: 	: c	: 	: 	: 	: 	: c	: 	: 	28 	: 	: 	: 
F,Y15-74,OTH,EU27_FOR,2008	17 	: 	19 	15 	22 	14 u	4 	20 	: c	11 	15 	12 	: u	19 	12 	7 u	14 
F,Y15-74,OTH,FOR,2008	12 	16 	17 	11 	11 	10 	4 	10 	34 u	10 	14 	6 	12 	10 	12 	10 	13 
F,Y15-74,OTH,NEU_HDI_H,2008	6 u	: 	16 	10 	9 	11 u	5 	4 u	34 u	: u	9 	: u	: u	6 	16 	12 	12 
F,Y15-74,OTH,NEU_HDI_L,2008	17 u	: 	14 u	: c	: c	: u	: u	: c	: 	: u	8 u	: 	21 	: u	10 	: c	: u
F,Y15-74,OTH,NEU_HDI_M,2008	: u	: 	7 u	17 u	5 	: u	3 u	: c	: 	: u	17 	: c	: u	: u	10 	26 u	7 u
F,Y15-74,OTH,NEU_NHDI,2008	: 	: 	: c	: 	: 	: 	: 	: 	: c	: c	18 	: 	: c	: c	: u	: c	: 
F,Y15-74,OTH,NRP,2008	: 	16 	: 	: c	: 	: 	: 	: 	: 	: 	: c	: 	: 	: u	: 	: c	: 
F,Y15-74,WRK_JOB,EU27_FOR,2008	15 	: 	10 	5 u	9 	: u	11 	16 	: 	22 	8 	11 	: c	13 	16 	12 	27 
F,Y15-74,WRK_JOB,FOR,2008	9 	8 	13 	3 	8 	: u	10 	39 	20 u	20 	4 	7 	6 	6 	10 	5 	20 
F,Y15-74,WRK_JOB,NEU_HDI_H,2008	: u	: 	12 	3 u	8 	: u	9 	38 	21 u	: u	4 	4 u	: u	: u	6 	: u	10 
