Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Central Europe and the Baltics,CEB,..,..,..,..,..,..,4.3272053712107,3.05164035354788,2.76791174536409,1.97915950088039,4.02231031773057,3.01991836348864,3.53909352349038,4.09178374884152,5.81669339325582,4.97291387350927,6.58985680437605,6.4194624185655,3.91383746009527,-3.45012362980911,1.59599612044616,3.23066830381342,0.761745530859614,1.2597785783482,3.04118583863702,3.90828779431256,3.05063694325736,4.79903514954991,4.30552722463898,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Euro area,EMU,3.58349791796675,2.6231377588866,1.39356523578304,-0.657212575677747,2.46093704338266,2.42062287975671,1.70367629655028,2.70862363214188,3.04527064420652,2.97561508573534,3.86261131712328,2.21187759855252,0.9564010538692,0.698719624790087,2.30365986288545,1.68557501878752,3.22690540566151,2.99751935054114,0.421095192048156,-4.50125715131669,2.13353910289132,1.68652055316582,-0.892157629396067,-0.252894811383513,1.40101622683966,2.1138353849405,1.91021306009695,2.54216915489675,1.89984996459722,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,European Union,EUU,2.98218908021408,1.57601540852504,1.01894103003129,-0.221908879695192,2.77831104481339,2.70547532503839,1.96628924932669,2.87050360573244,3.11061487019464,3.02862261447675,3.83987793210471,2.30093124111386,1.29456403645216,1.26655613207281,2.56877163126748,2.11478107846679,3.38860391417843,3.04895173550702,0.515608295978609,-4.31544779808017,2.16811882913302,1.79112397698069,-0.422809861160886,0.26474344793759,1.73895915935532,2.35283732777822,2.0392177660671,2.59772052597017,2.01485496020118,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belgium,BEL,3.13740246177889,1.83307427924075,1.53065483605788,-0.961873090440875,3.22697146648132,2.38475720698521,1.32147848811599,3.79364486135974,1.96184075078834,3.54273427701128,3.71667711251564,1.09961615969796,1.70688915887587,1.03795305343826,3.57119289125183,2.32173738004792,2.55235376695013,3.67691824085243,0.446916545344948,-2.02072581635507,2.86428532684397,1.69449744610768,0.739229905081658,0.459228050116039,1.57852322952448,2.0327889725624,1.51110603420099,1.96419275543016,1.45840535284985,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Austria,AUT,4.34564154381593,3.44162744917193,2.09352470997408,0.526809466130729,2.40211876560241,2.66798366152948,2.34953385169727,2.09359938952392,3.58142581460447,3.55633124664169,3.37572214708479,1.26716818922992,1.65155392186669,0.941470920725337,2.73512022241023,2.24406532463878,3.45404183614122,3.72741530093519,1.4604236757386,-3.76457817791677,1.83709367680054,2.92279728368581,0.680445576816723,0.0255047121972183,0.661272848852605,1.01450158590511,2.08260842829317,2.47644392123686,2.41976363780752,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bulgaria,BGR,-9.11737709653305,-8.44535523808105,-7.27238790651938,-1.48021482899122,1.81801124071566,2.86018944148833,0.704680677821131,-1.08882024740534,6.34897902911045,-8.40813438865463,4.76577106392688,3.77021779291451,5.93751640002745,5.15621844288377,6.43535832318665,7.12351107638302,6.87435837944525,7.3444219091066,6.02188340210856,-3.58614562510616,1.32408780093829,1.91490585291416,0.0309698686798754,0.493921421234305,1.8375211479416,3.47118604090714,3.9367581489791,3.81124815844305,3.08115723374425,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Croatia,HRV,..,..,..,..,..,..,5.8335461769103,6.75293279120027,2.00294473756033,-0.81776765201468,3.2785898266151,3.34692791582869,5.11582885937104,5.64033026534536,4.16038224889681,4.31400966032554,5.00105488519735,5.26638152325492,1.75953174591554,-7.35949802166181,-1.49625949506706,-0.309847286631822,-2.23770546299224,-0.548518693944928,-0.103868248789766,2.43713930223737,3.4835254216931,3.13919599919778,2.63078562253854,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cyprus,CYP,7.40399950603849,0.739501202599484,9.39999901631705,0.700000488145406,5.89999870094491,8.36246930466571,1.24858157644654,2.64089463952175,6.11084674642566,4.99796042248005,5.96531031488551,3.95256054086292,3.72295649883054,2.62328612298592,5.02634392575985,4.85300383835666,4.71382866563108,5.09806845261183,3.6468119905756,-2.01526235906867,2.01469570699406,0.401437941132741,-3.44682208589713,-6.55307825499119,-1.86373981759002,3.3746870624024,6.74658367864025,4.36122883686963,4.06019176189083,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Czech Republic,CZE,..,-11.614942358929,-0.506542350091891,0.0619042481668259,2.90930946382764,6.22140600246843,4.22281456967646,-0.594659086701967,-0.328715516439146,1.43283947755531,4.26674135904462,2.90876488054445,1.65249405419866,3.60298946034922,4.90656376316664,6.53346880507935,6.85352233442428,5.6026436836669,2.68228272581928,-4.80257209234594,2.27342005374092,1.77783318558407,-0.799844280980295,-0.483671041809359,2.71511613330348,5.30923851823553,2.45054238635723,4.3526035198277,2.95778447296561,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Denmark,DNK,1.47524426157177,1.39363400503063,1.95700670472409,0.0106876521799961,5.33246266135845,3.02758730901766,2.90009972939423,3.26089019723177,2.21815869903659,2.94802217396024,3.74686261409498,0.823153020719275,0.466345549014747,0.390058528624792,2.66821929069209,2.33664132484286,3.91300794127373,0.909238959176889,-0.512016734783217,-4.9065477294027,1.87099110975051,1.33677777779432,0.22649979701626,0.933340957051087,1.61939381663372,2.3425904296801,3.24595766559814,2.036165206055,2.39132968541817,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Estonia,EST,..,..,..,..,-1.6424246224986,4.52668179218799,4.93597164680249,13.0465348779449,4.33029578271929,-0.403435554874093,10.106520167909,5.97960281497825,6.80239085441958,7.56669202509161,6.76745667087503,9.49029679825276,9.71875924288119,7.57358092049655,-5.08894221126678,-14.4338686354076,2.70690275278302,7.4415848189133,3.11023455542406,1.34618783576073,2.98732581885494,1.84488517975394,2.63156790553847,5.74880209154125,4.76115846853359,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Finland,FIN,0.642744501314226,-5.9123879047787,-3.32116107225828,-0.68897382405973,3.93449839856275,4.21756148714339,3.66730879836739,6.33423494572361,5.45699878214707,4.37965389426891,5.7733657517467,2.60974744799636,1.7071017901843,2.00370159756996,3.99233774795964,2.77962108655099,4.02745076837643,5.29900538451864,0.784016800731706,-8.07461557422144,3.18591156873617,2.54753032080617,-1.3973545403055,-0.90201849396388,-0.364940286305156,0.560595415027535,2.62799844928989,3.05128111023743,1.67143888071415,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,France,FRA,2.9239351370326,1.04817582672602,1.59934268998583,-0.62866637130098,2.35834220730796,2.10669523353155,1.41299368494035,2.33629649806078,3.58865943785973,3.42137381630556,3.92366920384049,1.98372140247594,1.13553148770353,0.823160777839419,2.82975292855139,1.66322000049641,2.44932360050809,2.42473623791508,0.254945945817809,-2.87331385206255,1.94943763326869,2.1927006520261,0.313134741678468,0.576326679441848,0.956183047683851,1.1129123405747,1.09546439462306,2.26020272081131,1.72488062714211,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Germany,DEU,5.25500608859595,5.10826150765951,1.92807343038962,-0.979339906561634,2.398049086341,1.5347974754814,0.820953826499334,1.7836372384923,2.01904748909297,1.89195900764383,2.89518694712132,1.69773236086638,-0.198459062728844,-0.713533477235572,1.18991490034335,0.721853764966724,3.81458790454661,2.98407727316592,0.96226644174557,-5.69715162828702,4.1789690378929,3.92413341771297,0.41955108005358,0.428243261672193,2.22568874914928,1.73974982269824,2.22999996699747,2.46503002917808,1.52744629830981,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Greece,GRC,0,3.09999998861477,0.70000000474235,-1.59999996232489,2.00000002461354,2.09971974391323,2.86212890949049,4.48419908217453,3.89490478020595,3.0725966881793,3.9197707576146,4.13161208119371,3.92287181307964,5.79453123883324,5.0609926100659,0.599142080317989,5.65243366900454,3.27374690375697,-0.335172576683306,-4.3007336610621,-5.47903710212778,-9.13249412984462,-7.30049396069786,-3.24142505601294,0.739777138557756,-0.43783393784453,-0.190952295750137,1.50509933940322,1.93437082746027,..
